report_id,date,site,department,report_type,narrative,sif_label,lsr_ground_truth
RPT-2024-0320,2024-06-22,Digboi Pumping Station,Electrical Maintenance,Near Miss,Slippery patch of water found near canteen entrance. Wet floor sign placed and area mopped.,0,None
RPT-2024-0010,2024-01-25,Dibrugarh Drilling,Civil Engineering,Near Miss,"During pig launching from a pipeline, a worker stood directly in front of the launcher barrel. The pig was ejected unexpectedly due to a valve sequencing error, narrowly missing the worker.",1,Line of Fire
RPT-2024-0383,2024-06-20,Sibsagar Wellhead,Refinery Operations,Near Miss,Safety briefing board in drilling contractor camp had wrong emergency contact numbers. Corrected.,0,None
RPT-2024-0284,2024-03-15,Duliajan Field,Mechanical Maintenance,Unsafe Act,Calibration sticker found expired on pressure gauge PG-214. Instrument sent for calibration.,0,None
RPT-2023-0494,2023-04-18,Dibrugarh Drilling,Electrical Maintenance,Near Miss,Waste segregation not followed — non-hazardous waste disposed in hazardous bin.,0,None
RPT-2023-0319,2023-05-13,Jorhat Well Pad,Pipeline Maintenance,Unsafe Act,Minor leak from pump mechanical seal — drip rate 2 drops/minute. Defect raised for next maintenance window.,0,None
RPT-2023-0435,2023-02-16,Barauni Pipeline,Refinery Operations,Unsafe Act,Low tyre pressure observed on field vehicle FV-047. Tyre inflated to specification.,0,None
RPT-2024-0129,2024-08-05,Duliajan Field,Pipeline Maintenance,Incident,Night shift crew continued a job beyond scope of original permit without re-authorization. Additional isolations needed were not applied. A near-fatal incident occurred from unexpected energy release. Shift handover had just occurred.,1,Work Authorisation
RPT-2024-0422,2024-04-29,Barauni Pipeline,Wellhead Services,Unsafe Act,Emergency eye wash station found blocked by stored materials. Cleared immediately.,0,None
RPT-2024-0272,2024-07-21,Jorhat Well Pad,Pipeline Maintenance,Unsafe Act,Safety notice board in accommodation camp found to have outdated evacuation map. Updated.,0,None
RPT-2023-0063,2023-06-13,Jorhat Well Pad,Electrical Maintenance,Incident,A crane wire sling failed while lifting a wellhead valve. The load fell 3 metres and struck a worker who was standing within the exclusion zone. The sling was past its rated inspection date. Shift handover had just occurred.,1,Line of Fire
RPT-2025-0498,2025-04-09,Jorhat Well Pad,Drilling Operations,Near Miss,Fire exit sign lamp found to be non-functional in Block C. Maintenance work order raised.,0,None
RPT-2025-0366,2025-02-28,Dibrugarh Drilling,Wellhead Services,Unsafe Condition,Hard hat strap broken on worker entering site — replaced at gate before entry.,0,None
RPT-2023-0325,2023-12-21,Dibrugarh Drilling,Pipeline Maintenance,Unsafe Act,Low tyre pressure observed on field vehicle FV-047. Tyre inflated to specification.,0,None
RPT-2025-0349,2025-02-12,Numaligarh Refinery,Wellhead Services,Unsafe Condition,Temporary cable crossing ground-level in pedestrian area without ramp. Cable ramp fitted.,0,None
RPT-2024-0013,2024-10-17,Barauni Pipeline,Mechanical Maintenance,Incident,"Maintenance crew commenced work on a heat exchanger without a valid permit to work. The permit had expired the previous day. Line isolation was not verified. Hot oil at 180°C was released when a flange was broken, burning one worker's hand. Shift handover had just occurred.",1,Work Authorisation
RPT-2024-0080,2024-12-05,Duliajan Field,Pipeline Maintenance,Near Miss,Grinding work was performed within 15 metres of an open hydrocarbon drain without a hot work permit. No fire watcher was assigned. A spark ignited a pool of oil on the ground causing a small fire. The job was being rushed to meet a deadline.,1,Hot Work
RPT-2024-0256,2024-11-25,Digboi Pumping Station,HSSE Department,Unsafe Act,Warning sign at acid storage area faded and illegible. New sign printed and installed.,0,None
RPT-2023-0322,2023-12-19,Numaligarh Refinery,Refinery Operations,Near Miss,Minor oil stain on walkway near compressor shed. Area barricaded and cleaned.,0,None
RPT-2024-0172,2024-03-10,Dibrugarh Drilling,Civil Engineering,Incident,"Workers were removing corrugated roofing sheets on an elevated processing shed. No harnesses, no edge protection, and no safety net. One worker stepped on a fragile sheet and fell through to the floor below. The job was being rushed to meet a deadline.",1,Working at Height
RPT-2023-0074,2023-10-21,Barauni Pipeline,Electrical Maintenance,Near Miss,Technician began removing flange bolts on a live 6-inch process line without verifying isolation. Line was still pressurised at 42 bar. Valve isolation had not been completed and LOTO was not applied. Worker narrowly avoided a pressure release when a colleague intervened. Permit to work was present but isolation steps were skipped. Shift handover had just occurred.,1,Energy Isolation
RPT-2023-0468,2023-04-15,Numaligarh Refinery,Pipeline Maintenance,Unsafe Act,Handrail section loose on staircase to mezzanine floor. Work order raised for repair.,0,None
RPT-2024-0227,2024-05-12,Sibsagar Wellhead,Electrical Maintenance,Unsafe Act,Grease found on floor near lathe in maintenance workshop. Cleaned and root cause: lubrication over-applied.,0,None
RPT-2023-0307,2023-02-03,Numaligarh Refinery,Civil Engineering,Near Miss,Worn PPE — gloves with minor tear in use. Worker issued replacement gloves.,0,None
RPT-2025-0091,2025-05-23,Digboi Pumping Station,Wellhead Services,Near Miss,"Workers were removing corrugated roofing sheets on an elevated processing shed. No harnesses, no edge protection, and no safety net. One worker stepped on a fragile sheet and fell through to the floor below. Supervision was absent at the time.",1,Working at Height
RPT-2023-0368,2023-10-22,Jorhat Well Pad,Electrical Maintenance,Near Miss,Temporary cable crossing ground-level in pedestrian area without ramp. Cable ramp fitted.,0,None
RPT-2025-0038,2025-04-07,Jorhat Well Pad,Drilling Operations,Near Miss,Worker entered a crude oil storage tank for inspection without conducting atmospheric testing. H2S concentration inside was later measured at 45 ppm — well above the IDLH of 10 ppm. No standby man was present and rescue equipment was not available at the entry point. Supervision was absent at the time.,1,Confined Space
RPT-2023-0261,2023-07-04,Barauni Pipeline,Mechanical Maintenance,Near Miss,Hard hat strap broken on worker entering site — replaced at gate before entry.,0,None
RPT-2025-0493,2025-03-01,Numaligarh Refinery,Mechanical Maintenance,Incident,Minor leak from pump mechanical seal — drip rate 2 drops/minute. Defect raised for next maintenance window.,0,None
RPT-2024-0140,2024-06-15,Sibsagar Wellhead,HSSE Department,Unsafe Act,"Oxy-acetylene cutting was carried out in a compressor shed. The fire extinguisher nearby was found empty. No hot work permit, no gas test, and no fire watch. Shed had poor ventilation. Supervision was absent at the time.",1,Hot Work
RPT-2023-0159,2023-02-07,Numaligarh Refinery,Mechanical Maintenance,Incident,Grinding work was performed within 15 metres of an open hydrocarbon drain without a hot work permit. No fire watcher was assigned. A spark ignited a pool of oil on the ground causing a small fire. Supervision was absent at the time.,1,Hot Work
RPT-2024-0266,2024-11-23,Barauni Pipeline,Civil Engineering,Unsafe Condition,Handrail section loose on staircase to mezzanine floor. Work order raised for repair.,0,None
RPT-2024-0221,2024-12-20,Dibrugarh Drilling,Mechanical Maintenance,Unsafe Act,First aid box in workshop found to have expired bandages. Restocked.,0,None
RPT-2024-0169,2024-08-20,Numaligarh Refinery,Wellhead Services,Near Miss,A crane wire sling failed while lifting a wellhead valve. The load fell 3 metres and struck a worker who was standing within the exclusion zone. The sling was past its rated inspection date. Supervision was absent at the time.,1,Line of Fire
RPT-2023-0421,2023-06-02,Dibrugarh Drilling,Electrical Maintenance,Unsafe Act,Portable extinguisher inspection tag overdue by 3 days. Inspected and tagged.,0,None
RPT-2025-0097,2025-05-04,Jorhat Well Pad,Civil Engineering,Unsafe Act,Workers broke into a pressurised line without waiting for permit approval. The supervisor had verbally approved the work but no written permit was raised. An injury resulted from a sudden release of pressure. Shift handover had just occurred.,1,Work Authorisation
RPT-2023-0183,2023-04-03,Digboi Pumping Station,Drilling Operations,Unsafe Condition,Safety guard on a rotating coupling was removed to allow a running check and not replaced. Worker's sleeve caught on the exposed shaft causing a degloving injury. Shift handover had just occurred.,1,Bypassing Safety Controls
RPT-2023-0444,2023-01-07,Digboi Pumping Station,Drilling Operations,Unsafe Act,Minor paint defect on handrail — does not affect structural integrity. Cosmetic repair scheduled.,0,None
RPT-2023-0230,2023-02-26,Duliajan Field,Wellhead Services,Unsafe Act,Portable ladder found stored horizontally on the ground instead of secured vertical rack.,0,None
RPT-2024-0283,2024-09-03,Duliajan Field,Wellhead Services,Unsafe Condition,Office ergonomics issue — monitor at incorrect height causing neck strain. Adjusted.,0,None
RPT-2023-0030,2023-01-22,Barauni Pipeline,Wellhead Services,Unsafe Act,Worker entered a crude oil storage tank for inspection without conducting atmospheric testing. H2S concentration inside was later measured at 45 ppm — well above the IDLH of 10 ppm. No standby man was present and rescue equipment was not available at the entry point. Shift handover had just occurred.,1,Confined Space
RPT-2023-0219,2023-04-28,Dibrugarh Drilling,Wellhead Services,Near Miss,Low tyre pressure observed on field vehicle FV-047. Tyre inflated to specification.,0,None
RPT-2023-0374,2023-08-20,Barauni Pipeline,Drilling Operations,Unsafe Act,"Worker tripped on threshold at workshop entrance. Minor bruising, no lost time. Area marked.",0,None
RPT-2025-0255,2025-03-19,Guwahati Terminal,Pipeline Maintenance,Unsafe Act,Low tyre pressure observed on field vehicle FV-047. Tyre inflated to specification.,0,None
RPT-2023-0115,2023-08-15,Digboi Pumping Station,Wellhead Services,Unsafe Condition,Two workers descended into a wet sump to clear a blockage. No confined space permit was obtained. Oxygen levels inside measured at 14% — dangerously below the 19.5% minimum. One worker began feeling dizzy and had to be pulled out. Shift handover had just occurred.,1,Confined Space
RPT-2024-0046,2024-08-31,Duliajan Field,Pipeline Maintenance,Unsafe Condition,A crane wire sling failed while lifting a wellhead valve. The load fell 3 metres and struck a worker who was standing within the exclusion zone. The sling was past its rated inspection date. Worker was new to the site.,1,Line of Fire
RPT-2024-0348,2024-02-08,Guwahati Terminal,Mechanical Maintenance,Unsafe Condition,Worn PPE — gloves with minor tear in use. Worker issued replacement gloves.,0,None
RPT-2024-0397,2024-12-21,Guwahati Terminal,Pipeline Maintenance,Near Miss,Worker observed eating inside the control room — against site hygiene rules. Counselled.,0,None
RPT-2024-0245,2024-04-25,Sibsagar Wellhead,HSSE Department,Near Miss,Stacked materials in laydown area exceeded maximum stacking height. Re-stacked to safe height.,0,None
RPT-2024-0198,2024-07-07,Dibrugarh Drilling,Refinery Operations,Unsafe Act,Grinding work was performed within 15 metres of an open hydrocarbon drain without a hot work permit. No fire watcher was assigned. A spark ignited a pool of oil on the ground causing a small fire. The area was poorly lit.,1,Hot Work
RPT-2023-0341,2023-01-24,Jorhat Well Pad,Electrical Maintenance,Unsafe Condition,Cable drum tripping hazard observed near transformer yard. Cable routed and secured.,0,None
RPT-2023-0107,2023-06-06,Digboi Pumping Station,Refinery Operations,Near Miss,Truck driver was using a mobile phone while driving a heavy goods vehicle on a narrow field road. Vehicle crossed the centreline and collided head-on with an oncoming field truck. The job was being rushed to meet a deadline.,1,Driving
RPT-2024-0355,2024-01-13,Guwahati Terminal,Pipeline Maintenance,Incident,Stacked materials in laydown area exceeded maximum stacking height. Re-stacked to safe height.,0,None
RPT-2023-0314,2023-03-31,Guwahati Terminal,Mechanical Maintenance,Unsafe Condition,Low tyre pressure observed on field vehicle FV-047. Tyre inflated to specification.,0,None
RPT-2023-0342,2023-08-09,Guwahati Terminal,Drilling Operations,Unsafe Act,Hard hat strap broken on worker entering site — replaced at gate before entry.,0,None
RPT-2023-0132,2023-02-03,Barauni Pipeline,HSSE Department,Near Miss,Driver reversed a loaded tanker truck without a banksman in a congested yard. Reversing camera was defective. The truck reversed into a worker standing behind the vehicle. Shift handover had just occurred.,1,Driving
RPT-2024-0057,2024-03-13,Duliajan Field,Pipeline Maintenance,Unsafe Act,Safety guard on a rotating coupling was removed to allow a running check and not replaced. Worker's sleeve caught on the exposed shaft causing a degloving injury. The job was being rushed to meet a deadline.,1,Bypassing Safety Controls
RPT-2023-0047,2023-09-25,Barauni Pipeline,Mechanical Maintenance,Unsafe Act,Relief valve on a compressor was found to have been wired shut with lock wire. Compressor pressure exceeded safety valve set-point by 30%. No authorisation had been obtained. Shift handover had just occurred.,1,Bypassing Safety Controls
RPT-2025-0402,2025-01-10,Duliajan Field,Electrical Maintenance,Unsafe Act,PPE not worn correctly — hard hat tilted at angle instead of level. Reminded and corrected on site.,0,None
RPT-2025-0118,2025-01-08,Barauni Pipeline,Mechanical Maintenance,Unsafe Act,"During pig launching from a pipeline, a worker stood directly in front of the launcher barrel. The pig was ejected unexpectedly due to a valve sequencing error, narrowly missing the worker.",1,Line of Fire
RPT-2023-0050,2023-05-16,Guwahati Terminal,Pipeline Maintenance,Incident,Process operator bypassed a high-pressure interlock on a separator vessel to avoid a shutdown. No management of change was completed. Pressure exceeded design limits causing a gasket failure. Shift handover had just occurred.,1,Bypassing Safety Controls
RPT-2025-0257,2025-06-13,Numaligarh Refinery,Mechanical Maintenance,Unsafe Act,Emergency eye wash station found blocked by stored materials. Cleared immediately.,0,None
RPT-2025-0381,2025-06-16,Duliajan Field,Drilling Operations,Unsafe Act,Warning sign at acid storage area faded and illegible. New sign printed and installed.,0,None
RPT-2024-0286,2024-07-11,Duliajan Field,Electrical Maintenance,Near Miss,Oil spill of approximately 2 litres observed near pump P-101. Absorbent material deployed and cleaned.,0,None
RPT-2024-0474,2024-03-21,Dibrugarh Drilling,Electrical Maintenance,Unsafe Act,Slippery patch of water found near canteen entrance. Wet floor sign placed and area mopped.,0,None
RPT-2024-0499,2024-11-24,Numaligarh Refinery,Wellhead Services,Unsafe Condition,Low tyre pressure observed on field vehicle FV-047. Tyre inflated to specification.,0,None
RPT-2023-0130,2023-08-05,Dibrugarh Drilling,Pipeline Maintenance,Unsafe Act,"Worker was standing in the line of fire while a hydraulic hose was being pressurised. The hose connection failed at 120 bar, ejecting the fitting at high velocity past the worker's face. No exclusion zone had been established. The job was being rushed to meet a deadline.",1,Line of Fire
RPT-2024-0160,2024-06-22,Sibsagar Wellhead,Drilling Operations,Near Miss,Field vehicle was travelling at 85 km/h on a 40 km/h rated access track in heavy rainfall. Driver was not wearing a seatbelt. The vehicle skidded and rolled over injuring all three occupants.,1,Driving
RPT-2025-0021,2025-02-26,Guwahati Terminal,Pipeline Maintenance,Unsafe Condition,Fire and gas detector was found to have been inhibited for 72 hours without a formal bypass permit. A gas leak occurred during the inhibited period and was not detected for over 2 hours. Shift handover had just occurred.,1,Bypassing Safety Controls
RPT-2023-0332,2023-11-01,Sibsagar Wellhead,Pipeline Maintenance,Unsafe Condition,Safety notice board in accommodation camp found to have outdated evacuation map. Updated.,0,None
RPT-2024-0190,2024-08-24,Numaligarh Refinery,Electrical Maintenance,Near Miss,Fire and gas detector was found to have been inhibited for 72 hours without a formal bypass permit. A gas leak occurred during the inhibited period and was not detected for over 2 hours. Supervision was absent at the time.,1,Bypassing Safety Controls
